accession,ENSEBL,K198R_S,K198R_M,R47G,D156E,pval_K198Rs,pval_K198Rm,pval_R47G,pval_D156E
O95182,ENSG00000267855,0.713367879,0.292449088,-0.01277669,-0.011150765,0.005722047,0.067834141,0.824702659,0.338729352
M0QYM3,ENSG00000267796,1.689131691,-0.653910499,-0.143106767,0.755302477,0.000453194,0.363898147,0.960569383,0.073127553
K7ELQ4,ENSG00000267281,-0.220656092,-0.401867696,-0.32531188,0.208855009,0.088292934,0.046175989,0.19279913,0.096089021
P82921,ENSG00000266472,0.578126506,0.130819715,-0.297358332,0.131358085,0.021808716,0.608806415,0.362425344,0.569641806
A0A1W2PPJ9,ENSG00000266173,0.162338503,0.018395567,0.101703404,-0.286863865,0.265032436,0.953012374,0.559035446,0.088811614
O75044,ENSG00000266028,-0.162050244,0.102220677,-0.109562571,-0.095844621,0.000265635,0.055543448,0.176301826,0.047505377
Q9H3M7,ENSG00000265972,-3.382762614,0.874575092,-0.760653456,-0.895002391,0.02047793,0.107505825,0.224841566,0.162709728
O75396,ENSG00000265808,-1.275676507,0.014273532,-0.150055914,-0.396698117,0.002978661,0.811850361,0.293490373,0.090748019
J3KRX5,ENSG00000265681,-0.37427219,0.095442156,0.327565051,0.17593976,0.003496757,0.320798993,0.065956998,0.087158906
A0A669KAZ0,ENSG00000265590,2.342865252,0.258459465,-0.242855243,0.340040839,0.012006574,0.346425588,0.483670553,0.195757361
O14925,ENSG00000265354,1.330395853,-0.387351807,-0.151032376,0.360694932,0.000342344,0.09752024,0.267897391,0.029072508
Q9Y5S9,ENSG00000265241,0.970914928,-0.171735589,-0.043746512,0.248896474,0.000205446,0.399197769,0.933276514,0.106948539
Q6GQQ9,ENSG00000264522,-0.816959711,-0.027433674,0.251711012,-0.041391788,0.001010105,0.86877736,0.07218897,0.775238584
Q96FJ2,ENSG00000264364,0.789479851,0.969958185,1.062322781,-0.031540566,0.016114733,0.015839857,0.01990314,0.968646953
Q9BRL6,ENSG00000263465,1.178235421,-0.035812141,-0.004867677,-0.251746034,0.0002773,0.903557534,0.963525149,0.160051075
P78347,ENSG00000263001,1.04928558,-0.139889585,-0.011443346,0.166986193,0.000423411,0.741504183,0.792108153,0.227387165
P52815,ENSG00000262814,2.460894823,0.82015072,1.028864268,0.11424352,0.000268458,0.01620662,0.013071052,0.528820601
Q8WZ82,ENSG00000262664,0.40886328,-0.102929459,-0.13002538,-0.156003893,0.009122561,0.274833978,0.198786072,0.127600542
A0A0G2JLB3,ENSG00000262446,-1.995034449,-0.402911608,-0.13097368,-0.29181149,0.00062866,0.041433969,0.270061941,0.086416415
A0A0B4J2A0,ENSG00000262304,0.246051328,-0.620823532,-0.024456324,-0.110148326,0.015368547,0.009228207,0.885676888,0.325739038
P57737,ENSG00000262246,2.030604267,0.184823145,0.163943486,0.693523283,2.61E-05,0.396408184,0.430491424,0.050215945
A0A140TA69,ENSG00000262045,-2.531912091,-1.966881208,-1.230548615,-0.730811602,0.008911103,0.040246321,0.086256558,0.164795441
Q9H2C0,ENSG00000261609,0.937077944,-0.157033466,-0.113945604,0.180901872,0.003787899,0.550376591,0.464343182,0.165923818
Q14137,ENSG00000261236,0.580583184,-0.347265478,0.041451632,0.431386035,0.00431517,0.193994536,0.629573316,0.057039964
P58107,ENSG00000261150,4.01684082,-0.281073827,-0.245344206,0.017684664,9.58E-06,0.203540825,0.244159704,0.825346031
Q9ULG6,ENSG00000260916,-1.073869356,0.168776266,-0.087165417,-0.326635263,0.002018769,0.385970335,0.500774397,0.097158689
H3BNC9,ENSG00000260836,-0.141954488,0.096007273,0.310552224,0.206177251,0.140664133,0.286979445,0.028623188,0.077903016
Q9H2W6,ENSG00000259494,1.599959629,0.323400351,0.175434999,0.313733946,5.50E-05,0.012923812,0.233210196,0.032518215
Q9BU02,ENSG00000259431,0.552031957,0.852069583,0.324783752,-0.265867627,0.008859617,0.003309031,0.182591075,0.147407684
P05106,ENSG00000259207,0.020528426,-0.362084244,0.350614952,0.85059189,0.842028686,0.138186347,0.087638401,0.010610892
V9GXZ4,ENSG00000259030,-0.859286368,-0.022169536,-0.213634966,-0.216227687,0.000452469,0.856399292,0.077390597,0.31430865
Q13509,ENSG00000258947,-2.327843507,0.600059047,0.408208505,-0.224444778,0.003214758,0.195351797,0.316779048,0.399340519
Q9HBH1,ENSG00000258429,0.52136472,-0.312128991,-0.357796979,0.621337288,0.021162444,0.21582223,0.523658644,0.049460208
Q8IXM2,ENSG00000258315,0.81420152,0.173067251,-0.581758298,0.602104172,0.00029353,0.196377455,0.110534481,0.059442449
Q8WUH1,ENSG00000258289,-0.750501548,-0.183443112,0.061911588,0.522123521,0.011835406,0.469848423,0.581579485,0.038507915
Q13948,ENSG00000257923,-0.225447068,0.069245849,-0.143465134,0.019607971,0.069547531,0.714780366,0.276313931,0.99699036
Q8N4A0,ENSG00000257594,-0.783228138,0.394893025,0.514146551,-0.197800342,0.002977499,0.124130799,0.012333529,0.37163954
H0YHG0,ENSG00000257390,1.134423335,-0.075140069,0.084548949,0.249642458,0.000508792,0.934350882,0.598365131,0.204641422
P49356,ENSG00000257365,-1.12273246,0.083513234,0.271616713,-0.075981974,6.42E-05,0.506610535,0.058922438,0.235396133
Q8ND56,ENSG00000257103,0.930337056,-0.018451437,-0.035719506,0.136937356,9.68E-05,0.951942911,0.946037674,0.201562939
F5H345,ENSG00000256269,1.758349528,0.102164569,-0.149457632,0.081343782,0.004673061,0.326122069,0.361507853,0.334251877
